State,Cluster
Alabama,0
Alaska,2
Arizona,1
Arkansas,0
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,3
Florida,1
Georgia,1
Idaho,1
Illinois,0
Indiana,1
Iowa,2
Kansas,0
Kentucky,2
Maine,1
Maryland,0
Massachusetts,3
Michigan,3
Minnesota,1
Mississippi,2
Missouri,0
Montana,0
Nebraska,3
Nevada,1
New Hampshire,0
New Mexico,0
New York,0
North Carolina,2
Oklahoma,2
Oregon,1
Pennsylvania,0
Rhode Island,3
South Carolina,0
South Dakota,3
Tennessee,0
Texas,1
Utah,0
Vermont,1
Virginia,0
Washington,0
West Virginia,2
Wisconsin,1
Wyoming,2
