State,Cluster
Alabama,4
Alaska,1
Arizona,2
Arkansas,0
Colorado,4
Connecticut,4
Delaware,4
District of Columbia,3
Florida,1
Georgia,2
Idaho,0
Illinois,0
Indiana,2
Iowa,1
Kansas,4
Kentucky,1
Maine,2
Maryland,4
Massachusetts,3
Minnesota,2
Mississippi,4
Missouri,0
Montana,4
Nebraska,3
Nevada,2
New Hampshire,0
New Mexico,0
New York,4
North Carolina,1
Oklahoma,1
Oregon,2
Pennsylvania,4
South Carolina,4
South Dakota,3
Tennessee,0
Texas,1
Utah,4
Vermont,2
Virginia,0
West Virginia,1
Wisconsin,2
Wyoming,1
