Metric 1,Metric 2,Correlation,State
Deaths Change (%),Population Change (%),0.2303384211918838,Alabama
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.03772935225818828,Alabama
Population Change (%),Deaths Change (%),0.2303384211918838,Alabama
Population Change (%),Crude Rate Change (%),0.22280651051523404,Alabama
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4709194784194943,Alabama
Crude Rate Change (%),Population Change (%),0.22280651051523404,Alabama
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.024002057637012665,Alabama
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.03772935225818828,Alabama
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.4709194784194943,Alabama
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.024002057637012665,Alabama
Deaths Change (%),Population Change (%),-0.014464792217379304,Alaska
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.32080904294163054,Alaska
Population Change (%),Deaths Change (%),-0.014464792217379304,Alaska
Population Change (%),Crude Rate Change (%),-0.049852019161674685,Alaska
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.37621234281321925,Alaska
Crude Rate Change (%),Population Change (%),-0.049852019161674685,Alaska
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.26039769031900206,Alaska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.32080904294163054,Alaska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.37621234281321925,Alaska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.26039769031900206,Alaska
Deaths Change (%),Population Change (%),0.3648502466356061,Arizona
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.11428416829514894,Arizona
Population Change (%),Deaths Change (%),0.3648502466356061,Arizona
Population Change (%),Crude Rate Change (%),0.255669994403173,Arizona
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5453499391644945,Arizona
Crude Rate Change (%),Population Change (%),0.255669994403173,Arizona
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.04781070000473219,Arizona
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.11428416829514894,Arizona
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5453499391644945,Arizona
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.04781070000473219,Arizona
Deaths Change (%),Population Change (%),-0.11738998807069856,Arkansas
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.03663241081019869,Arkansas
Population Change (%),Deaths Change (%),-0.11738998807069856,Arkansas
Population Change (%),Crude Rate Change (%),-0.12470296010813177,Arkansas
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.7068883533604209,Arkansas
Crude Rate Change (%),Population Change (%),-0.12470296010813177,Arkansas
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.040473958235337136,Arkansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.03663241081019869,Arkansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.7068883533604209,Arkansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.040473958235337136,Arkansas
Deaths Change (%),Population Change (%),-0.12014568392903982,California
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.2146281254912093,California
Population Change (%),Deaths Change (%),-0.12014568392903982,California
Population Change (%),Crude Rate Change (%),-0.1328908049353938,California
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.15491945205143653,California
Crude Rate Change (%),Population Change (%),-0.1328908049353938,California
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.21845836619426115,California
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.2146281254912093,California
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.15491945205143653,California
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.21845836619426115,California
Deaths Change (%),Population Change (%),0.17890993670375246,Colorado
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.006634951080221868,Colorado
Population Change (%),Deaths Change (%),0.17890993670375246,Colorado
Population Change (%),Crude Rate Change (%),0.12744427278780493,Colorado
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.32995629910677443,Colorado
Crude Rate Change (%),Population Change (%),0.12744427278780493,Colorado
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.014629711106470484,Colorado
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.006634951080221868,Colorado
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.32995629910677443,Colorado
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.014629711106470484,Colorado
Deaths Change (%),Population Change (%),-0.3790868658554565,Connecticut
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.5465720175368575,Connecticut
Population Change (%),Deaths Change (%),-0.3790868658554565,Connecticut
Population Change (%),Crude Rate Change (%),-0.3879007149767875,Connecticut
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.6324346784347399,Connecticut
Crude Rate Change (%),Population Change (%),-0.3879007149767875,Connecticut
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.551989436442752,Connecticut
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.5465720175368575,Connecticut
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.6324346784347399,Connecticut
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.551989436442752,Connecticut
Deaths Change (%),Population Change (%),-0.30136920891256525,Delaware
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.0187510363057528,Delaware
Population Change (%),Deaths Change (%),-0.30136920891256525,Delaware
Population Change (%),Crude Rate Change (%),-0.3183138717360287,Delaware
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4829784785402937,Delaware
Crude Rate Change (%),Population Change (%),-0.3183138717360287,Delaware
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.010243173863786351,Delaware
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.0187510363057528,Delaware
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.4829784785402937,Delaware
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.010243173863786351,Delaware
Deaths Change (%),Population Change (%),0.12897010215791982,District of Columbia
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.09839705842074774,District of Columbia
Population Change (%),Deaths Change (%),0.12897010215791982,District of Columbia
Population Change (%),Crude Rate Change (%),-0.0460018204387717,District of Columbia
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.5577590233500509,District of Columbia
Crude Rate Change (%),Population Change (%),-0.0460018204387717,District of Columbia
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.13884259081460015,District of Columbia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.09839705842074774,District of Columbia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.5577590233500509,District of Columbia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.13884259081460015,District of Columbia
Deaths Change (%),Population Change (%),0.3062040144092811,Florida
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5605856358960501,Florida
Population Change (%),Deaths Change (%),0.3062040144092811,Florida
Population Change (%),Crude Rate Change (%),0.26503232045436237,Florida
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.16287034183254373,Florida
Crude Rate Change (%),Population Change (%),0.26503232045436237,Florida
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5657214250475106,Florida
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.5605856358960501,Florida
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.16287034183254373,Florida
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.5657214250475106,Florida
Deaths Change (%),Population Change (%),0.35943254049042395,Georgia
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.36323854944632233,Georgia
Population Change (%),Deaths Change (%),0.35943254049042395,Georgia
Population Change (%),Crude Rate Change (%),0.35084684477906813,Georgia
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.7194464297750215,Georgia
Crude Rate Change (%),Population Change (%),0.35084684477906813,Georgia
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.34318261312408416,Georgia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.36323854944632233,Georgia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.7194464297750215,Georgia
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.34318261312408416,Georgia
Deaths Change (%),Population Change (%),0.15198597435465028,Hawaii
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.14892426226716796,Hawaii
Population Change (%),Deaths Change (%),0.15198597435465028,Hawaii
Population Change (%),Crude Rate Change (%),0.10427173657891457,Hawaii
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.1157650433677767,Hawaii
Crude Rate Change (%),Population Change (%),0.10427173657891457,Hawaii
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.1553725645898714,Hawaii
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.14892426226716796,Hawaii
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.1157650433677767,Hawaii
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.1553725645898714,Hawaii
Deaths Change (%),Population Change (%),0.2588080104038722,Idaho
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2869853501231177,Idaho
Population Change (%),Deaths Change (%),0.2588080104038722,Idaho
Population Change (%),Crude Rate Change (%),0.23546355445563721,Idaho
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5284946932077852,Idaho
Crude Rate Change (%),Population Change (%),0.23546355445563721,Idaho
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.27206691696039476,Idaho
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.2869853501231177,Idaho
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5284946932077852,Idaho
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.27206691696039476,Idaho
Deaths Change (%),Population Change (%),-0.19140868893869228,Illinois
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.01360042845977069,Illinois
Population Change (%),Deaths Change (%),-0.19140868893869228,Illinois
Population Change (%),Crude Rate Change (%),-0.19209384057115106,Illinois
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.8711979522339375,Illinois
Crude Rate Change (%),Population Change (%),-0.19209384057115106,Illinois
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.005330716918443552,Illinois
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.01360042845977069,Illinois
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.8711979522339375,Illinois
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.005330716918443552,Illinois
Deaths Change (%),Population Change (%),0.45412297155863846,Indiana
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2858093602324331,Indiana
Population Change (%),Deaths Change (%),0.45412297155863846,Indiana
Population Change (%),Crude Rate Change (%),0.44171417397092266,Indiana
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.6804175768184655,Indiana
Crude Rate Change (%),Population Change (%),0.44171417397092266,Indiana
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2880538398099567,Indiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.2858093602324331,Indiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.6804175768184655,Indiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.2880538398099567,Indiana
