State,Cluster
Alabama,0
Alaska,8
Arizona,8
Arkansas,9
California,8
Colorado,10
Connecticut,2
Delaware,10
District of Columbia,8
Florida,3
Georgia,11
Hawaii,8
Idaho,1
Illinois,3
Indiana,8
Iowa,8
Kansas,10
Kentucky,8
Louisiana,6
Maine,8
Maryland,5
Massachusetts,6
Michigan,7
Minnesota,1
Mississippi,3
Missouri,4
Montana,8
Nebraska,0
Nevada,8
New Hampshire,3
New Jersey,8
New Mexico,10
New York,1
North Carolina,4
North Dakota,2
Ohio,9
Oklahoma,3
Oregon,8
Pennsylvania,10
Rhode Island,8
South Carolina,1
South Dakota,3
Tennessee,3
Texas,8
Utah,6
Vermont,2
Virginia,1
Washington,10
West Virginia,3
Wisconsin,7
